|sentence|appeal-code
5708|The DREF operation aimed at providing recovery support to over 2,000 persons affected by the 2017 September floods disaster in these Counties.|MDRLR004
5709|The timely implementation of the DREF operation was challenged by the Liberia Representative and Presidential elections in October 2017.|MDRLR004
5710|As the LNRCS was heavily engaged with preparedness and response to the elections.|MDRLR004
5711|500 volunteers were mobilized for this operation, thus leaving the implementation of planned actions under the DREF to be delayed.|MDRLR004
5712|In addition, relief items were delivered in-country only in January 2018 as more than 60% of relief items distributed in this operation were procured through the IFRC system.|MDRLR004
5713|This also caused some delay to implementation of activities, leading to the operation timeframe to be extended for an additional one month.|MDRLR004
5714|Operation Update 1 was thus published in December 2017 to materialize this timeframe extension.|MDRLR004
5715|The major donors and partners of the DREF include the Red Cross Societies and governments of Australia, Austria, Belgium, Canada, Denmark, Ireland, Italy, Japan, Luxembourg, Monaco, the Netherlands, Norway, Spain, Sweden and the USA, as well as DG ECHO, the UK Department for International Development (DFID), AECID, the Medtronic and Zurich Foundations and other corporate and private donors.|MDRLR004
5716|The IFRC, on behalf of the Liberia National Red Cross Society, would like to extend many thanks to all partners for their generous contributions.|MDRLR004
5759|Morocco was affected by a cold wave on Saturday the 27th of February 2016, this wave caused by a polar air mass flow passing from the North Pole to Europe and North Africa generated westerly winds accompanied with extreme and low temperatures.|MDRMA007
5760|The regions of the Middle Atlas and the north of the High Atlas and the neighbouring plains witnessed severe thunderstorms, while significant snow fell over the High and Middle Atlas, the Rif and the highlands of eastern Morocco.|MDRMA007
5761|This precipitation was accompanied by moderate to strong winds, and temperatures that dropped significantly, reaching exceptionally low records, particularly in the interior regions of the country and the Atlas Mountains.|MDRMA007
5762|The wave caused economic losses and isolation for several areas in Morocco, the electricity was interrupted as well and houses suffered from structural damages and water supply interruption due to the freezing temperatures.|MDRMA007
5781|In mid-January 2017, a cold wave moved across Morocco affecting most cities.|MDRMA008
5782|Temperatures fell rapidly, reaching as low as minus 13 degrees Celsius in high altitude areas, and between minus two and zero degree Celsius in the centre of the country.|MDRMA008
5783|This wave of freezing air and snow caused economic and livelihood losses in several isolated areas.|MDRMA008
5784|In addition, traffic was paralyzed as well because of inaccessible roads which reduced supplies to certain remote communities.|MDRMA008
5785|The Ministry of Equipment, Transport and Logistics was mobilized to access those areas.|MDRMA008
5786|In addition to roads and mountain passages blocked by snowfalls, some houses suffered from structural damages and power outages.|MDRMA008
5787|Due to low temperatures, the water pipes froze and interrupted the water supply in many areas.|MDRMA008
5788|Most parts of the Kingdom felt the impact of this unusual cold wave.|MDRMA008
5789|Facing this situation, local authorities and relevant services mobilized all the human and material resources, and activated crisis management cells to help the most affected populations.|MDRMA008
5790|As an auxiliary of the public authorities in the humanitarian actions, and following the example of the previous crises, Moroccan Red Crescent was engaged by the authorities to help the affected population.|MDRMA008
5791|As part of the coordination group with the Ministry of the Interior, Moroccan Red Crescent was commissioned to intervene in three regions to help 2,000 families (10,000 beneficiaries) to provide food and non-food relief items.|MDRMA008
5792|These regions are: Oriental, Tangier-Tetouan and Fes-Taza.|MDRMA008
5793|The table below illustrates the areas and distances involved :|MDRMA008
5854|In August 2017 the so called “Adriatic route” opened, and since then there has been a huge migrant influx and transit through Montenegro towards Bosnia and Herzegovina and Croatia.|MDRME007
5855|The entry point is the green border near the border crossing Bozaj (along the railway and along the valley called Nikina Uvala).|MDRME007
5856|Currently, there is one main exit point in the city of Pljevlja in the northern part of the country, which borders Serbia and Bosnia and Herzegovina (migrants cross near the border crossing at Metaljka).|MDRME007
5857|As the number of migrants in Montenegro increased, the number of asylum requests grew from 20 per month to 557 registered only in May 2018, which was the highest monthly figure in the last five years.|MDRME007
5858|The daily influx would range from 15 to 50 migrants.|MDRME007
5859|The change of the Law on asylum into Law on international and subsidiary protection brought numerous changes for the government institutions and other relevant stakeholders and partners, but more importantly also for migrants, asylum seekers and refugees with approved status in the country.|MDRME007
5860|One of the most important novelty in 2018 was the introduction of the opportunity to express intention to apply for asylum.|MDRME007
5861|By law, migrants should be able to submit their expression of intention to apply for asylum at all police facilities, but in practice it is only possible in the Detention centre.|MDRME007
5862|The document issued by the police and only available in Montenegrin language, does not state the period it is valid for, which has created a lot of problems.|MDRME007
5863|The migrants in possession of this document have 15 days to leave Montenegro or to apply for asylum.|MDRME007
5864|However, as it is not clearly stated in the document, migrants are not aware of this regulation and often stay longer in the country without filing their request for asylum, resulting in irregular status and lack of access to humanitarian assistance, including even shelter.|MDRME007
5865|Red Cross of Montenegro (RCM) teams have provided assistance to these migrants in the form of food, clothing items, first aid kits and hygiene sets.|MDRME007
5866|However, given the irregular status of many migrants, assistance provision was questionable in the eye of the authorities, but thanks to its recognized role in the society as well as to its mandate, the RCM could continue with providing assistance also to this group of migrants.|MDRME007
5867|The migrants are accommodated in three locations: the reception centre in Spuz (capacity 75 beds), an alternative accommodation in Podgorica (a rented motel, capacity 100 beds) and the detention centre in Spuz (capacity 50 beds) – used as a reception centre in case of a need.|MDRME007
5868|Given the unexpectedly high number of migrants to be supported by the different type of services of RCM in the first two months of the implementation period (up to 2,000 persons) and the newly identified target groups, the number of beneficiaries increased beyond the planned figure by the end date of the operation.|MDRME007
5869|For this reason, and to ensure continuous support to migrants, RCM requested a two-month extension of the DREF operation with an additional budget of CHF 170,940 (bringing the total budget of the operation to CHF 370,787), which served the needs of an additional 1,500 beneficiaries.|MDRME007
5870|Although the activities remained the same (distribution of food and non-food items, including first aid kits and hygiene promotion materials), the number of distributed items increased to be able to meet the needs of the newly-arrived migrants as well as those of the newly-identified target groups in the extended period.|MDRME007
5871|Furthermore, the clothing items procured and distributed in the course of the extended period were adapted to winter conditions.|MDRME007
5880|Madagascar is within the Regional Inter Tropical Convergence Zone (ITCZ) and on January/12/2015, pressure in the zone resulted in unreasonably high amounts of rain in the city of Antananarivo.|MDRMG011
5881|The city is an area prone to flooding, with two thirds of the city classified as a flood plain, which leads to a chronic annual cycle of flooding emergencies, displacement, injury and loss of life.|MDRMG011
5882|During 2010-2013, illegal houses were constructed within the capital city without authorization in the so-called prohibited areas such as drainage canals, dykes and flood zones, where flood water and waste water are known to drain from.|MDRMG011
5883|Such factors make the flood contingency plan of Antananarivo obsolete and the authorities are yet to deal with the unauthorized housing development in the risk areas.|MDRMG011
5884|On 16 January 2015, the tropical cyclone Chezda hit Madagascar, which caused the Antananarivo pumping station (used to drain rain and waste water from the city) to break down, causing the levels of surrounding rivers to rise.|MDRMG011
5885|This led to the government issuing a red alert in the capital city.|MDRMG011
5886|The flood caused considerable damage within Madagascar’s central region (Analamanga) central, southern region (Menabe), southeast (Vatovavy Fitovinany and Atsimo Atsinanana), as well as western parts of the island.|MDRMG011
5887|As of 30 January 2015, according to preliminary assessments by the Malagasy Red Cross Society (CRM), 80,000 people had been affected, with more than 20,000 living in temporary shelters throughout the country including more than 16,000 in Antananarivo.|MDRMG011
5888|According to the UN Office for the Coordination of Humanitarian Affairs (UNOCHA), 68 people were killed.|MDRMG011
5889|On 2 February 2015, the International Federation of Red Cross and Red Crescent Societies (IFRC) released CHF 262,902 from the Disaster Response Emergency Fund (DREF) to support CRM to meet the immediate needs of 3,000 households (15,000 people) in the sectors of emergency shelter, non-food items (NFIs), water, sanitation and hygiene, for a period of three months.|MDRMG011
5890|As of 5 February 2015, the final official statement of the Malagasy disaster management office (Bureau National de Gestion des Risques et des Catastrophes, BNGRC) reported that 173,970 people were affected, 80 killed and 9 missing.|MDRMG011
5891|With the exception of Antananarivo, most of those who had been displaced were gradually returning to their homes by early February.|MDRMG011
5892|From 14 February 2015, rainfall increased yet again and significantly affected the regions of Alaotra Mangoro, Analamanga (including the capital, Antananarivo) and Vakinankaratra, causing landslides and 26 more people were killed.|MDRMG011
5893|After the failure of river banks to protect the Sisaony river, flooding in the greater Antananarivo worsened, and again on 27 February 2015, a red alert was declared.|MDRMG011
5894|On 9 March 2015, it was reported that 93,000 people were affected and 40,000 displaced (BNGRC).|MDRMG011
5895|In Antananarivo, 36,000 people were displaced and 1,831 houses flooded or destroyed.|MDRMG011
5896|In addition, nearly 13,100 hectares of rice fields were flooded, and many schools remained closed with others being used as temporary shelters.|MDRMG011
5897|On 6 March 2015, the Prime Minister decided to gather all of those displaced in Antananarivo in a large camp within Andohatapenaka, which was the city’s former slaughterhouse.|MDRMG011
5898|The site was originally set up to accommodate up to 24,000 displaced people.|MDRMG011
5899|The movement of people to the camp began in an ad hoc and informal manner, when neither proper infrastructure nor a registration system was in place.|MDRMG011
5900|The government of Madagascar (GoM) planned to keep this site open for three months and, in May offered the families who had nowhere to return to a resettlement program in Ankazobe, 140km north of the capital.|MDRMG011
5901|About 100 families took the offer and have since moved there.|MDRMG011
5902|On 23 March 2015, an operations update was issued extending the operation by an additional 2 months at the request of CRM with an increased DREF allocation of CHF 189,985 (totalling CHF 452,887 for the full 5 month operation) to allow for the expansion of the activities to support an additional 2,000 households (10,000 people) which were affected by the floods, and who were living in camps in the city of Antananarivo.|MDRMG011
5903|A total of 5,000 households (25,000 people) have been targeted for assistance by the CRM.|MDRMG011
5904|This DREF was replenished by the Canadian Red Cross / Government, DG ECHO, Italian Government, Korean Government and Netherlands Red Cross / Silent Emergencies Fund.|MDRMG011
5905|The major donors and partners of the DREF include the Red Cross Societies and governments of Australia, Austria, Belgium, Canada, Denmark, Ireland, Italy, Japan, Luxembourg, Monaco, the Netherlands, Norway, Spain, Sweden and the USA, as well as DG ECHO, the UK Department for International Development (DFID) the Medtronic and Zurich and other corporate and private donors.|MDRMG011
5906|The IFRC, on behalf of the Malagasy Red Cross Society would like to extend its thanks to all partners for their generous contributions.|MDRMG011
5914|On 28 December 2014, the Former Yugoslav Republic of Macedonia was hit by heavy snowfalls that resulted in snow drifts, two meters high in some places, limiting the movement of all types of vehicles on many highways and mountain corridors, and cutting the communication with a number of mountain villages.|MDRMK003
5915|Electricity lines were also cut in some of the regions, the most affected ones being Ohrid, Struga, Debar, Kichevo, Skopje, and Makedonski Brod.|MDRMK003
5916|For more than ten hours, some 150 vehicles with 500 drivers and passengers were stranded on the Skopje – Ohrid highway due to the heavy snowfall.|MDRMK003
5917|The electric power cuts lasted for a week or longer in a number of municipalities such as Ohrid, Debarca, Struga, Vevcani, Debar, Centar Zhupa, Mavrovo and Rostushalasted.|MDRMK003
5918|Although the Energy Supply Company (EVN Macedonia) immediately deployed workers to repair the seriously damaged network, the circumstances did not allow for a fast recovery of the electricity services.|MDRMK003
5919|The affected areas are situated mainly in the mountains and the access of the necessary equipment and technicians was therefore more difficult.|MDRMK003
5920|To ensure a more rapid recovery, the state also engaged the Airborne Unit of the Ministry of Interior to assist in the transport of the workers.|MDRMK003
5921|Due to the critical conditions, the Red Cross of the Former Yugoslav Republic of Macedonia in cooperation with the local branches and state authorities conducted a relief operation for the most vulnerable population in those areas which are part of the System for Crisis Management.|MDRMK003
5937|In the second half of January 2015, the Former Yugoslav Republic of Macedonia (FYROM) was affected by heavy rainfalls and snow in the higher areas.|MDRMK004
5938|The extreme precipitation caused serious damages in the eastern part of the country, especially in the Municipality of Karbinci where the villages were immediately evacuated due to the rise of the rivers and the water level of the man-made lake in Kalimanci and Gradche.|MDRMK004
5939|With the assistance of the National Crisis Management Committee, the population was transported to the cities of Shtip and Radovish while the cattle and other farm animals were brought to the mountain pastures.|MDRMK004
5940|At the end of January further floods took place in the eastern part of the country.|MDRMK004
5941|The situation had already been critical due to the high level of water in the rivers in eastern Macedonia, and the warmer weather and rains caused an early melting of the snow which additionally worsened the situation in the affected regions.|MDRMK004
5942|The National Crisis Management Committee immediately undertook preventive measures for reducing the expected flood impact by erecting temporary dams on the most risky parts along the river beds.|MDRMK004
5943|The population from the village of Karbinci was preventively evacuated to the city of Shtip, and the population from the villages of Chesinovo and Obleshevo was brought to the city of Kochani.|MDRMK004
5944|All government institutions on national and local levels mobilized their resources.|MDRMK004
5945|During the second flooding, the consequences were much smaller due to the smaller quantity of rainfall and the preventive measures taken.|MDRMK004
5946|The floods caused significant damage to the infrastructure (local roads, bridges, wells, and water supply system) and serious consequences to the crops which is the main source of income for the farmers in the affected regions.|MDRMK004
5947|In the region of Bitola, the municipalities of Mogila and Novaci were the most affected parts.|MDRMK004
5948|The heavy rains and the high level of water from the previous months and the serious amount of debris in the riverbed of the river Crna caused serious damages to the region.|MDRMK004
5949|Although the state institutions invested significant efforts both on central and local levels in order to reduce the consequences of the flood, the water penetrated the houses of the local population.|MDRMK004
5950|In order to prevent the inundation of the village of Novaci, the authorities decided on February 4 to cut a major local road in order to prevent the flooding of the houses and the power plant REK Bitola.|MDRMK004
5951|However, the flooding damaged the water supply system, and there was also significant damage to the agricultural fields.|MDRMK004
5952|In order to restore normal life and the functioning of the power plant REK Bitola which employs most of the local population, the responsible authorities built a pedestrian bridge across the flooded area.|MDRMK004
5975|The heavy rainfall affected the western part of the former Yugoslav Republic of Macedonia in the late evening hours on 3 August 2015.|MDRMK006
5976|The heavy rain resulted in the overflow of the water from River Pena in the city of Tetovo.|MDRMK006
5977|The heavy rains were disastrous for the mountain villages of Shipkovica (2,826 residents), Dzepciste (4,051 residents), Mala Rechica (8,353 residents), Golema Rechica (1,659 residents) and Poroj (2,677 residents) and the city of Tetovo (65,000 residents).|MDRMK006
5978|The mountain villages were affected also by landslides caused by the heavy rain.|MDRMK006
5979|Based on the data obtained from the initial assessment, about 5,000 people were directly affected by the impact of the flash flood and mud slides.|MDRMK006
5980|The affected people were evacuated from the flooded villages until the houses were rehabilitated and made adequate for living.|MDRMK006
5981|Unfortunately, the heavy floods caused the death of six persons.|MDRMK006
5982|This disaster was probably the second biggest for the region after the disastrous earthquake that struck Macedonia in 1963.|MDRMK006
5983|30 persons were provided with medical care as a result of the injuries that they suffered during the storm.|MDRMK006
5984|One person was declared missing.|MDRMK006
5985|In some places, the mudflat in the affected mountain villages was up to three meters in height.|MDRMK006
5986|The Red Cross teams immediately responded and visited the affected villages and the city of Tetovo which was under water and debris.|MDRMK006
5987|The village of Shipkovica was left without electricity for several weeks and potable water for a period of one month.|MDRMK006
5988|The Red Cross immediately provided support in food and water for the affected population in Shipkovica.|MDRMK006
5989|The region was also visited by the Prime Minister of the former Yugoslav Republic of Macedonia and other state officials.|MDRMK006
5990|The personnel from the protection and Rescue Directorate worked actively to clean the affected terrain from debris and mud.|MDRMK006
5991|The initial results indicated that there was a lot of dead cattle and totally ruined fields in the villages.|MDRMK006
5992|The clearing of the villages from the debris was difficult task since these are mountainous villages where access for heavy vehicles is impossible.|MDRMK006
5993|In view of the impact of the disaster, the Government of the former Yugoslav Republic of Macedonia declared emergency situation in the region of Tetovo and established Crisis Management HQ which met every day with the purpose of coordinating the emergency response efforts and for assessing the accomplished results.|MDRMK006
5994|The Crisis Management HQ was comprised of different state agencies and institutions (Ministry of Interior, Ministry of Labour and Social Policy, Ministry of Ecology, Ministry of Health, Protection and Rescue Directorate, Centre for Crisis Management, Municipality of Tetovo and Red Cross of the former Yugoslav Republic of Macedonia.)|MDRMK006
6008|In the afternoon of 6 August 2016, torrential rains caused tremendous flash floods in the former Yugoslav Republic of Macedonia, severely affecting inhabited areas and agricultural regions in Skopje and Tetovo.|MDRMK007
6009|The rain’s volume was measured at a quantity of 97 l/m2, accompanied by strong winds of around 100 km/h.|MDRMK007
6010|The flash floods led to loss of human lives and significant material damages such as destroyed ring roads, streets, demolished vehicles and infrastructure, including water channels.|MDRMK007
6011|The most affected areas were in the northern part of Skopje, where more than 70 per cent of the houses were flooded and had the furniture, personal belongings, food stocks and accompanying infrastructure inside fully destroyed.|MDRMK007
6012|Beside Skopje, the severe flash floods also affected the area around the city of Tetovo.|MDRMK007
6013|The most affected villages and communities were: Chento, Indzikovo, Singelich, Stajkovci, Smilkovci, Creshevo, Viniche, Strachinci in the Skopje region and Shipkovica, Brodec, Veshala and Poroj in the Tetovo region.|MDRMK007
6014|In the surrounding area of Skopje, where a new ring road was being built, most of the water channels were sealed during the construction works, which caused massive water quantities to gather and form a natural dam along the road side blocks.|MDRMK007
6015|The accumulated water reached a critical level, the road collapsed and the water spilled towards the neighbouring villages flooding over 7,000 houses.|MDRMK007
6016|The floods resulted in 22 casualties and more than 60 injured people as well as large material damage.|MDRMK007
6017|In the Tetovo region, the heavy rainfall resulted in the flooding of roads between the villages Shipkovica, Brodec, Veshala and Poroj isolating these four localities.|MDRMK007
6018|Following the disaster, an initial and a second, more detailed assessment was conducted by the teams of the Red Cross of the former Yugoslav Republic of Macedonia.|MDRMK007
6019|The assessments found the following damages caused by the floods and the immediate relief needs:|MDRMK007
6029|In the afternoon of 5 January 2017, the western and northeastern parts of the former Yugoslav Republic of Macedonia were hit by a heavy snowstorm with temperatures decreasing to as low as -25 Celsius degrees.|MDRMK008
6030|Many villages were cut off by high snowdrifts and blocked roads around Skopje, Bitola, Kriva Palanka, Debar, Makedonski Brod, Gostivar, Kumanovo, Kichevo, Struga Ohrid and Stip.|MDRMK008
6031|Motor vehicles had difficulties moving on the icy roads while the movement of heavy vehicles was banned on the mountain passes of Gostivar, Kicevo and Kriva Palanka – Kustendil.|MDRMK008
6032|Part of the settlements in Skopje (Aerodrom), Negotino and Kavadarci were left without water due to frozen or damaged pipes.|MDRMK008
6033|Three people were reported to have died in Skopje, Strumica and Pehcevo as a result of the cold and freezing temperatures.|MDRMK008
6034|Based on the needs assessment conducted by the Red Cross of the former Yugoslav Republic of Macedonia, the local governments, the Crisis Management Centre and the Ministry of Labour and Social Policy, 555 families were found to have been particularly affected by the extreme weather conditions.|MDRMK008
6085|In Mali, heavy rainfall led to extensive flooding from 11 to 23 July 2016.|MDRML012
6086|Regions of Gao, Mopti Ségou, and Sikasso were the worst affected by the rains and flooding.|MDRML012
6087|According to rapid assessments, some 3,098 families were affected, of which 500 were left homeless and sought refuge with neighboring families or in public buildings (schools).|MDRML012
6088|In Mopti, Ségou and Sikasso, many localities also experienced food insecurity (rated in the “Phase 2 – Orange” phase) during the “lean season”, and this was exacerbated by the flooding.|MDRML012
6089|The risk of waterborne diseases outbreak was very high given the lack of efficient waste management and rainwater draining in areas that were already prone to cholera outbreaks.|MDRML012
6090|Security in these regions remains volatile due to sporadic terrorist attacks.|MDRML012
6091|Flooding increased the vulnerability of the population.|MDRML012
6092|The International Federation of Red Cross and Red Crescent Societies (IFRC) provided technical support to Mali Red Cross (MRC) through its Sahel Country Cluster Office, in Dakar, Senegal, and Africa Regional Office, in Nairobi, Kenya.|MDRML012
6093|On 26 July 2016, an alert was issued using the IFRC Disaster Management Information System (DMIS), which indicated the intention of the MRC to request international assistance to the floods through an allocation from the Disaster Relief Emergency Fund (DREF).|MDRML012
6094|On the same day, an Operational Strategy Call was convened with representatives from the IFRC Sahel Country Cluster Office, Africa Region and Geneva and it was agreed that a DREF allocation was an appropriate modality to support the National Society response.|MDRML012
6095|Hence the releasing of CHF 203,076 from DREF to support MRC to respond to the needs of flood affected population.|MDRML012
6096|This DREF has been replenished by DG ECHO, Belgian Red Cross/Government and Netherlands Red Cross/SEF.|MDRML012
6097|The major donors and partners of the DREF include the Red Cross Societies and Governments of Australia, Austria, Belgium, Canada, Denmark, Ireland, Italy, Japan, Luxembourg, Monaco, the Netherlands, Norway, Spain, Sweden and the USA, as well as DG ECHO, the UK Department for International Development (DFID) the Medtronic, Zurich and Coca Cola Foundations and other corporate and private donors.|MDRML012
6098|IFRC on behalf of MRC would like to extend many thanks to all partners for their generous contributions.|MDRML012
6120|Monsoon rains in the last week of July 2016 brought extensive flooding in several townships of Ayeyarwarddy, Bago, Magway, Mandalay, Sagaing and Yangon regions and parts of Kachin State.|MDRMM007
6121|The Relief and Resettlement Department (RRD) reported on 16 August 2016 that at least 474,560 people were displaced from their homes due to the floods.|MDRMM007
6122|State and local governments led the flood response.|MDRMM007
6123|Vulnerable areas along river banks were sandbagged and populations at risk evacuated.|MDRMM007
6124|The affected people were provided with food, water, relief items, cash and some construction materials.|MDRMM007
6125|The National Emergency Operations Centre was not activated, so the response was mostly managed at state/regional level.|MDRMM007
6126|The government coordinated with Myanmar Red Cross Society (MRCS) and civil society organizations in conducting evacuations and providing humanitarian services.|MDRMM007
6147|In the beginning of October 2016, an upsurge of violence in the northern area of Myanmar’s Rakhine State led to mass displacement amongst the local population.|MDRMM008
6148|The violence took place against a backdrop of decades of protracted tension and intercommunal violence between Rakhine and Muslim communities in Rakhine.|MDRMM008
6149|The violence was sparked by a series of coordinated attacks on 9 October on border police stations in Maungdaw and Rathedaung townships, located in the northern area of Rakhine State.|MDRMM008
6150|The attacks triggered an immediate response from security forces in Myanmar, which resulted in access to these areas being denied for humanitarian organizations and the media.|MDRMM008
6151|This however was relaxed in mid – April 2017.|MDRMM008
6152|An estimated 120,000 people from Maungdaw district affected by the communal violence fled their homes to either Bangladesh or other safer areas within northern and central areas of Rakhine state.|MDRMM008
6153|During the second quarter of 2017, the humanitarian situation related to violence in northern Rakhine remained tense especially in north and south of Maungdaw where reports of murders, killings, and kidnappings/ disappearance of targeted individuals continued.|MDRMM008
6154|Reported killings and/or arrests of community members in North and South of Rakhine were still common between Maungdaw and Buthidaung, thus posing a threat to free access and information gathering.|MDRMM008
6155|In May 2017, there were reports of bomb blasts in Buthidaung township raising fears that some people may have been attempting to make home-made bombs.|MDRMM008
6156|The authorisation to travel for INGO staff in Rakhine state gradually improved, with a caveat that international staff could only access Maungdaw township village communities when accompanied by an official from a relevant ministry.|MDRMM008
6157|However, these access constraints were later eased by the local authorities.|MDRMM008
6158|This has enabled more rapid assessments to be carried out by different humanitarian agencies in the district.|MDRMM008
6159|During the implementation of this DREF, northern part of Rakhine state, especially the townships of Maungdaw and Buthidaung, were among the coastal areas of Myanmar that was affected by Cyclone Mora between 29-30 May 2017.|MDRMM008
6160|Over 14,482 houses were partially or fully damaged in the Maungdaw and Buthidaung townships and 1,630 houses damaged in the Sittwe, Minbya and Rathedaung townships.|MDRMM008
6161|As a result, MRCS with support of IFRC, requested another DREF allocation of CHF 83,397 to support its emergency response efforts covering 1,000 households (5,000 people) in most affected townships of Maungdaw (500 households), Minbya (300 households) and Buthidaung (200 households) located in both the northern and central areas of Rakhine state.|MDRMM008
6162|The operation1 which provided relief items; family kits, hygiene parcels, dignity kits and unconditional cash specifically for Minbya township ended on 30 September 2017.|MDRMM008
6163|MRCS response to Cyclone Mora had an impact on this operation and led to a shift in priority amid growing operational challenges.|MDRMM008
6184|Tropical cyclone Mora made landfall on the coast of Bangladesh between Cox's Bazaar and the city of Chittagong on 30 May 2017.|MDRMM009
6185|Myanmar’s Rakhine state was severely hit, particularly in the northern areas of the state, and the states/regions of Chin, Ayeyarwady, Magway and Sagaing.|MDRMM009
6186|MRCS conducted a rapid assessment in the affected townships to assess the needs of the affected population.|MDRMM009
6187|According to government figures, 67 school buildings were completely destroyed, 297 houses partially damage, 4 health facilities destroyed while 45 public facilities were damaged in Maungdaw and Buthidaung townships.|MDRMM009
6188|In central Rakhine, 86 educational facilities were damaged (11 educational facilities collapsed, 33 severely damaged and 42 had minor damages).|MDRMM009
6189|Affected population whose shelters were destroyed by the tropical winds had increased risks to ailments as they were exposed to the elements.|MDRMM009
6190|Schools which was reopened on 1 June required materials for repairs as well as furniture.|MDRMM009
6191|The respective township education officers worked together with humanitarian partners in identifying the schools that needed repairs and rehabilitation.|MDRMM009
6192|Damages caused by TC Mora compounded the already difficult humanitarian situation in Rakhine state.|MDRMM009
6193|The context was characterized by protracted tension and communal violence, with displacement of 145,000 people in 2012.|MDRMM009
6194|Violence flared up again in October 2016 in Maungdaw and Rathedaung townships, causing up to 94,000 people to flee their homes to other parts of northern Rakhine or across the border into Bangladesh.|MDRMM009
6195|The situation prompted MRCS with the support of IFRC to request for a DREF for complex emergencies worth CHF 69,653.|MDRMM009
6196|The operation aims to provide assistance to 1,000 households in northern areas of Rakhine state between February – July 2017 by supporting MRCS emergency response readiness and conducting needs assessments.|MDRMM009
6197|The TC Mora operation therefore occurred in the middle of ongoing complex emergency operation which have affected the capacity of the response as the capacity of MRCS was further stretched.|MDRMM009
6198|Implementation of the cyclone mora operation (June – September 2017) coincided with two emergency operations in Rakhine state.|MDRMM009
6199|In the beginning, the operation coincided with the complex emergency operation which ended on 19 July 2017.|MDRMM009
6200|A joint Movement response for population movement started on August 2017 which coincided with this operation at the end of its implementation period.|MDRMM009
6201|Security situation remained tense during the implementation period, with reports pointing to armed clashes with unknown armed groups, the discovery of weapons and other military equipment, and deaths of civilians.|MDRMM009
6202|In July 2017 reports suggested that areas of Maungdaw and Buthidaung townships remained under active military activity with additional reports of civilian deaths, including a local INGO aid worker in Maungdaw township.|MDRMM009
6203|It remained difficult to verify the security incidents reports coming in, which further escalated uncertainty in what already was an unstable humanitarian situation and security environment.|MDRMM009
6204|With an increased security risk and the enforcement of a curfew (9PM – 5AM), the above situation placed severe operational constraints on the implementation of this DREF.|MDRMM009
6214|Heavy seasonal monsoon brought strong winds and heavy rains across Myanmar since the beginning of July 2018, causing increased water levels in major rivers and floods in many regions and states.|MDRMM011
6215|The regions of Nay Pyi Taw, Bago, Tanintharyi, Magway, Sagaing and Ayeyarwady as well as Mon and Kayin states were reported to have been affected.|MDRMM011
6216|Due to heavy rainfall, the Department of Meteorology and Hydrology (DMH) noted several rivers which either exceeded or was close to danger levels.|MDRMM011
6217|The DMH issued flood warnings for several rivers including Chindwin, Ngawun, Sittoung, Bago where water levels approached or exceeded the danger levels.|MDRMM011
6218|It was reported that water had reached as high as eight (8) feet in some affected areas.|MDRMM011
6219|Based on information from the Government’s Department for Disaster Management (DDM), a total of 147,613 people from 21,930 households were temporarily displaced and 16 people lost their lives due to the floods.|MDRMM011
6220|The most-affected areas with reported displacements were Bago region (11,974 households), Mon (5,727 households) and Kayin states (4,229 households).|MDRMM011
6221|The displaced people had taken shelter in evacuation sites or stayed with relatives and host families.|MDRMM011
6222|With flood waters receding as the monsoon culminated in mid-September, most of the people in evacuation sites or those living with host families and relatives, returned to their places of origin.|MDRMM011
6272|Dzud (or ‘zud’ ???) is a condition created by threat multipliers and inter-linked factors that exacerbates already fragile situations of livestock herders in Mongolia.|MDRMN007
6273|This term is unique to pastoral communities in Central Asia, and can be caused by a combination of summer drought, heavy snowfall, and high winds in concurrence with extremely low winter temperatures which combine to cause unsustainable conditions for animal survival.|MDRMN007
6274|In this condition, mortality of the livestock is caused by a combination of starvation because of being unable to graze and access fodder due to heavy snow, ice or drought, freezing due to extreme cold temperature, exposure to storms and wind, and a weakened immune system response due to the exposure.|MDRMN007
6275|Mongolia has suffered from severe winter conditions known as Dzud for three consecutive years.|MDRMN007
6276|The extremely harsh winter that continued after the drought in summer 2017 has depleted the herders’ reserves of hay and fodder.|MDRMN007
6277|Continuous harsh conditions have put at risk millions of livestock, which are the only source of food, transport and income for almost half of the Mongolian population.|MDRMN007
6278|As herders experienced two consecutive droughts throughout the country followed by severe winters, it did not allow herders enough recovery time to be prepared for the winter of 2017-2018.|MDRMN007
6279|According to an official statement of NEMA issued on 31 January 2018, about 70 per cent of the country was covered in 10-45 cm deep snow with density from 0.12-0.36 gr/cm3.|MDRMN007
6280|Out of 330 soums in 21 provinces, 141 soums in 20 provinces and one city experienced extreme winter situation.|MDRMN007
6281|The temperatures dropped to -30 to -46.5 degrees Celsius below freezing point during the nights.|MDRMN007
6282|This condition persisted for the whole month of February 2018.|MDRMN007
6283|Therefore, NEMA issued warning messages on possible extreme winter to herders and mobilized local resources such as hay and fodder to provinces that maybe badly affected and are at high risk.|MDRMN007
6284|The livestock death toll reached 1,116,880 by March 2018.|MDRMN007
6285|The outbreak of livestock infectious disease in 13 out of 21 provinces of Mongolia was one of the multiplying factors that resulted in deaths of livestock aside from the harsh winter conditions.|MDRMN007
